pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
siteminder,Freehand NYC,A,mobile,3,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,7389,7.4,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,A,mobile,2,TRUE,,,6.0,0,1,2,0,13970,14.0,1,False,False,False,True,True
plekify,Hemingways,A,desktop,2,TRUE,,,0.0,3,0,1,0,19719,19.7,1,False,False,False,True,True
profitroom,Katerina Resort,A,mobile,1,TRUE,,,6.0,0,1,2,0,18511,18.5,1,False,False,False,True,True
cloudbeds,Pod 51 Hotel,A,desktop,2,TRUE,,,4.5,4,0,1,0,44958,45.0,1,False,False,False,True,True
siteminder,Beach Waikiki Hostel,A,desktop,2,TRUE,,,6.0,0,1,2,0,16250,16.2,1,False,False,False,True,True
profitroom,Brahman Hills,A,mobile,2,TRUE,,,6.5,0,1,3,0,20589,20.6,1,False,False,False,True,True
profitroom,Hotel Haffner,B,desktop,3,TRUE,,,7.5,1,1,3,0,156104,156.1,0,False,False,False,True,True
siteminder,Nantucket Whale Inn,B,desktop,2,TRUE,,,14.5,3,1,4,9,30095,30.1,0,False,False,False,True,True
siteminder,Nantucket Whale Inn,B,mobile,3,TRUE,,,14.5,3,1,4,9,28202,28.2,0,False,False,False,True,True
nightsbridge,Atlantic View,B,desktop,2,TRUE,,,19.0,13,1,2,0,59898,59.9,0,False,False,False,True,True
nightsbridge,Atlantic View,A,mobile,3,TRUE,,,14.0,8,1,2,0,36960,37.0,1,False,False,False,True,True
cloudbeds,Saltline Hotel,B,desktop,1,FALSE,Could not complete booking flow to payment page,study_b,0.0,3,1,4,0,45006,45.0,0,False,False,False,True,True
cloudbeds,Fatwave Surf,A,mobile,3,FALSE,No availability found after 10 attempts,study_a,7.0,1,1,2,0,8865,8.9,10,False,False,False,True,True
cloudbeds,Saltline Hotel,A,mobile,1,TRUE,,,7.5,1,1,3,0,222564,222.6,1,False,False,False,True,True
profitroom,The Three,B,mobile,2,TRUE,,,7.5,1,1,3,0,123936,123.9,0,False,False,False,True,True
profitroom,Katerina Resort,A,desktop,1,TRUE,,,6.0,0,1,2,0,19748,19.7,1,False,False,False,True,True
cloudbeds,Fatwave Surf,B,mobile,2,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,1,3,0,6767,6.8,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,A,desktop,2,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,11807,11.8,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,A,mobile,2,FALSE,No availability found,study_a,2.5,2,0,1,0,126642,126.6,10,False,False,False,True,True
siteminder,Ivy City Hotel,A,desktop,2,TRUE,,,6.0,0,1,2,0,14549,14.5,1,False,False,False,True,True
profitroom,Brahman Hills,A,desktop,3,TRUE,,,6.5,0,1,3,0,21506,21.5,1,False,False,False,True,True
cloudbeds,Sea Esta Komodo,B,desktop,3,TRUE,,,0.0,3,0,4,0,78695,78.7,0,False,True,False,True,True
