pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
plekify,Hemingways,A,mobile,3,FALSE,No availability found,study_a,0.5,0,0,1,0,34582,34.6,10,False,False,False,True,True
profitroom,The Three,B,desktop,3,TRUE,,,7.5,1,1,3,0,35804,35.8,0,False,False,False,True,True
plekify,Singita,A,desktop,1,TRUE,,,0.0,3,0,1,0,26194,26.2,1,False,False,False,True,True
plekify,Hemingways,B,mobile,2,TRUE,,,9.0,4,0,2,8,47619,47.6,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,A,mobile,2,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,9657,9.7,0,False,False,False,True,True
plekify,Singita,B,mobile,3,TRUE,,,9.0,4,0,2,8,50674,50.7,0,False,False,False,True,True
siteminder,Nantucket Whale Inn,A,desktop,2,TRUE,,,6.5,0,1,3,0,17314,17.3,1,False,False,False,True,True
profitroom,Katerina Resort,B,mobile,2,TRUE,,,7.0,1,1,2,0,124339,124.3,0,False,False,False,True,True
profitroom,Brahman Hills,B,mobile,2,FALSE,Could not select room,room_selection,7.0,0,1,4,0,24424,24.4,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,B,desktop,2,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,11306,11.3,0,False,False,False,True,True
profitroom,The Three,A,desktop,3,TRUE,,,6.5,0,1,3,0,19741,19.7,1,False,False,False,True,True
nightsbridge,Thali Thali,A,mobile,2,TRUE,,,10.0,4,1,2,0,19238,19.2,1,False,False,False,True,True
profitroom,Apukka Resort,B,desktop,1,FALSE,"Page.goto: net::ERR_ABORTED at https://booking.profitroom.com/en/apukkaresort/home
Call log:
  - navigating to ""https://booking.profitroom.com/en/apukkaresort/home"", waiting until ""domcontentloaded""
",study_b,1.0,0,0,2,0,4729,4.7,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,B,mobile,2,FALSE,Could not find NightsBridge date display,select_dates,3.0,2,0,2,0,81095,81.1,0,False,False,False,True,True
nightsbridge,Lairds Lodge,A,mobile,3,TRUE,,,11.0,5,1,2,0,22391,22.4,1,False,False,False,True,True
siteminder,Freehand NYC,A,desktop,3,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,10334,10.3,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,B,mobile,2,TRUE,,,14.0,3,1,3,9,27041,27.0,0,False,False,False,True,True
plekify,Simbavati,A,desktop,2,TRUE,,,0.0,3,0,1,0,21957,22.0,1,False,False,False,True,True
nightsbridge,Thali Thali,B,desktop,1,TRUE,,,19.0,13,1,2,0,51263,51.3,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,B,desktop,1,FALSE,Could not complete booking flow to payment page,study_b,0.0,4,0,4,0,135340,135.3,0,False,False,False,True,True
cloudbeds,Pod 51 Hotel,B,mobile,1,FALSE,No booking entry point found on homepage,homepage,0.0,0,0,1,0,2928,2.9,0,False,False,False,True,True
profitroom,Katerina Resort,B,desktop,1,TRUE,,,7.0,1,1,2,0,36272,36.3,0,False,False,False,True,True
cloudbeds,Saltline Hotel,A,mobile,2,TRUE,,,7.5,1,1,3,0,222344,222.3,1,False,False,False,True,True
profitroom,The Three,B,mobile,1,TRUE,,,7.5,1,1,3,0,123990,124.0,0,False,False,False,True,True
profitroom,Katerina Resort,A,desktop,2,TRUE,,,6.0,0,1,2,0,20093,20.1,1,False,False,False,True,True
cloudbeds,Fatwave Surf,B,mobile,1,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,1,3,0,6482,6.5,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,A,desktop,1,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,11670,11.7,0,False,False,False,True,True
cloudbeds,Fatwave Surf,A,desktop,3,TRUE,,,9.5,3,1,3,0,44820,44.8,1,False,False,False,True,True
nightsbridge,Lairds Lodge,B,desktop,3,TRUE,,,16.0,10,1,2,0,38793,38.8,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,A,mobile,1,FALSE,No availability found,study_a,2.5,2,0,1,0,126816,126.8,10,False,False,False,True,True
siteminder,Ivy City Hotel,A,desktop,1,TRUE,,,6.0,0,1,2,0,15096,15.1,1,False,False,False,True,True
siteminder,Beach Waikiki Hostel,B,mobile,3,TRUE,,,14.0,3,1,3,9,27037,27.0,0,False,False,False,True,True
plekify,Singita,B,desktop,1,TRUE,,,9.0,4,0,2,8,28033,28.0,0,False,False,False,True,True
nightsbridge,Lairds Lodge,B,mobile,3,TRUE,,,15.0,9,1,2,0,39187,39.2,0,False,False,False,True,True
profitroom,Apukka Resort,A,desktop,1,TRUE,,,7.0,0,1,4,0,17441,17.4,1,False,False,False,True,True
nightsbridge,Thali Thali,A,desktop,1,TRUE,,,14.0,8,1,2,0,34223,34.2,1,False,False,False,True,True
profitroom,The Three,A,mobile,1,TRUE,,,6.5,0,1,3,0,18347,18.3,1,False,False,False,True,True
cloudbeds,The LINE Hotel,A,desktop,1,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,8382,8.4,0,False,False,False,True,True
nightsbridge,Thali Thali,B,mobile,1,TRUE,,,14.0,8,1,2,0,34457,34.5,0,False,False,False,True,True
siteminder,Ivy City Hotel,A,mobile,2,TRUE,,,6.0,0,1,2,0,13855,13.9,1,False,False,False,True,True
plekify,Singita,A,mobile,3,TRUE,,,0.0,3,0,1,0,42490,42.5,1,False,False,False,True,True
profitroom,Katerina Resort,A,mobile,2,TRUE,,,6.0,0,1,2,0,18379,18.4,1,False,False,False,True,True
plekify,Hemingways,B,desktop,3,TRUE,,,9.0,4,0,2,8,24374,24.4,0,False,False,False,True,True
plekify,Hemingways,A,desktop,1,TRUE,,,0.0,3,0,1,0,21347,21.3,1,False,False,False,True,True
siteminder,Tremola-San Gottardo,A,mobile,1,TRUE,,,6.0,0,1,2,0,13497,13.5,1,False,False,False,True,True
profitroom,Apukka Resort,B,mobile,3,FALSE,CAPTCHA on homepage,homepage,1.0,0,0,2,0,5003,5.0,0,False,False,False,True,True
siteminder,Beach Waikiki Hostel,A,desktop,1,TRUE,,,6.0,0,1,2,0,16063,16.1,1,False,False,False,True,True
cloudbeds,Pod 51 Hotel,A,desktop,1,TRUE,,,4.5,4,0,1,0,45160,45.2,1,False,False,False,True,True
cloudbeds,The LINE Hotel,B,mobile,3,FALSE,CAPTCHA on homepage,homepage,0.0,0,0,1,0,8296,8.3,0,False,False,False,True,True
profitroom,Brahman Hills,A,mobile,1,TRUE,,,6.5,0,1,3,0,19366,19.4,1,False,False,False,True,True
siteminder,Nantucket Whale Inn,B,desktop,1,TRUE,,,14.5,3,1,4,9,28980,29.0,0,False,False,False,True,True
nightsbridge,Atlantic View,B,desktop,1,TRUE,,,19.0,13,1,2,0,58978,59.0,0,False,False,False,True,True
profitroom,Hotel Haffner,B,mobile,3,TRUE,,,7.5,1,1,3,0,124820,124.8,0,False,False,False,True,True
cloudbeds,Saltline Hotel,B,desktop,2,FALSE,Could not complete booking flow to payment page,study_b,0.0,3,1,4,0,44999,45.0,0,False,False,False,True,True
profitroom,Hotel Haffner,B,mobile,2,TRUE,,,7.5,1,1,3,0,124866,124.9,0,False,False,False,True,True
cloudbeds,Saltline Hotel,B,desktop,3,FALSE,Could not complete booking flow to payment page,study_b,0.0,3,1,4,0,44808,44.8,0,False,False,False,True,True
cloudbeds,Fatwave Surf,A,mobile,1,FALSE,No availability found after 10 attempts,study_a,7.0,1,1,2,0,8982,9.0,10,False,False,False,True,True
nightsbridge,Atlantic View,A,mobile,1,TRUE,,,14.0,8,1,2,0,36781,36.8,1,False,False,False,True,True
siteminder,Nantucket Whale Inn,B,mobile,1,TRUE,,,14.5,3,1,4,9,27798,27.8,0,False,False,False,True,True
profitroom,Hotel Haffner,B,desktop,1,TRUE,,,7.5,1,1,3,0,127612,127.6,0,False,False,False,True,True
cloudbeds,The LINE Hotel,B,mobile,2,FALSE,CAPTCHA on homepage,homepage,0.0,0,0,1,0,5590,5.6,0,False,False,False,True,True
profitroom,Apukka Resort,B,mobile,2,FALSE,CAPTCHA on homepage,homepage,1.0,0,0,2,0,4737,4.7,0,False,False,False,True,True
profitroom,Katerina Resort,A,mobile,3,TRUE,,,6.0,0,1,2,0,18847,18.8,1,False,False,False,True,True
plekify,Hemingways,B,desktop,2,TRUE,,,9.0,4,0,2,8,24694,24.7,0,False,False,False,True,True
siteminder,Freehand NYC,A,mobile,1,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,6626,6.6,0,False,False,False,True,True
plekify,Singita,A,mobile,2,TRUE,,,0.0,3,0,1,0,41992,42.0,1,False,False,False,True,True
siteminder,Freehand NYC,B,desktop,1,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,10319,10.3,0,False,False,False,True,True
siteminder,Ivy City Hotel,A,mobile,3,TRUE,,,6.0,0,1,2,0,14254,14.3,1,False,False,False,True,True
siteminder,Beach Waikiki Hostel,B,desktop,1,TRUE,,,14.0,3,1,3,9,29067,29.1,0,False,False,False,True,True
cloudbeds,Sea Esta Komodo,A,mobile,1,FALSE,No availability found after 10 attempts,study_a,1.5,1,0,1,0,618152,618.2,10,False,False,False,True,True
nightsbridge,Lairds Lodge,B,mobile,2,TRUE,,,15.0,9,1,2,0,37848,37.8,0,False,False,False,True,True
cloudbeds,Sea Esta Komodo,B,desktop,1,TRUE,,,0.0,3,0,4,0,81993,82.0,0,False,True,False,True,True
siteminder,Beach Waikiki Hostel,B,mobile,2,TRUE,,,14.0,3,1,3,9,27296,27.3,0,False,False,False,True,True
profitroom,Brahman Hills,A,desktop,1,TRUE,,,6.5,0,1,3,0,21605,21.6,1,False,False,False,True,True
cloudbeds,Fatwave Surf,A,desktop,2,TRUE,,,9.5,3,1,3,0,45152,45.2,1,False,False,False,True,True
nightsbridge,Lairds Lodge,B,desktop,2,TRUE,,,16.0,10,1,2,0,39070,39.1,0,False,False,False,True,True
profitroom,Katerina Resort,A,desktop,3,TRUE,,,6.0,0,1,2,0,19765,19.8,1,False,False,False,True,True
cloudbeds,Saltline Hotel,A,mobile,3,TRUE,,,7.5,1,1,3,0,222384,222.4,1,False,False,False,True,True
